#{"t_start": 1752340132.2750878, "env_id": "None"}
r,l,t,reason
-0.573587,501,106.043478,goal_reached
-2.676329,168,144.809507,collision
0.85795,292,208.563265,goal_reached
2.828476,298,273.726598,goal_reached
2.976996,138,306.469441,goal_reached
2.531397,200,351.636543,goal_reached
-0.317767,379,432.829385,goal_reached
1.923846,329,504.291504,goal_reached
3.902005,190,547.490623,goal_reached
1.991461,247,602.049618,goal_reached
-2.804229,116,630.386266,collision
-2.823667,184,672.325771,collision
3.317788,149,707.253745,goal_reached
-1.576419,318,776.171442,collision
-2.523687,168,814.821893,collision
3.809039,138,847.484344,goal_reached
-1.239465,249,902.652869,goal_reached
2.766605,193,946.520132,goal_reached
3.636943,132,978.041063,goal_reached
0.451846,209,1025.001444,goal_reached
1.968768,204,1070.968375,goal_reached
-1.529764,153,1106.770522,collision
3.67075,163,1669.302286,goal_reached
1.546891,245,1723.616649,goal_reached
0.42749,165,1761.853547,goal_reached
1.059208,167,1800.601519,goal_reached
-3.426788,300,1866.202383,no_progress
3.004946,234,1918.377561,goal_reached
-5.536321,387,2001.725368,collision
3.070651,105,2027.885499,goal_reached
-1.947411,139,2061.052254,collision
-8.070848,374,2141.308897,no_progress
-0.766421,199,2186.550241,collision
0.776587,299,2251.778153,goal_reached
-1.048021,71,2271.305474,collision
2.617157,315,2339.692077,goal_reached
-0.240313,109,2366.780224,collision
-3.398561,338,2439.738781,no_progress
1.167686,258,2496.62336,goal_reached
-1.241055,150,2531.936027,collision
0.221987,307,2598.65677,goal_reached
1.290611,248,2653.721966,goal_reached
3.269721,176,2694.525431,goal_reached
0.129938,555,3259.02989,goal_reached
-1.944382,310,3326.485086,collision
0.611046,194,3370.405936,goal_reached
3.012043,119,3399.448553,goal_reached
0.455311,311,3467.26642,goal_reached
-4.123778,121,3496.812434,collision
1.832753,186,3539.442419,goal_reached
2.231627,256,3596.116606,goal_reached
-1.812776,107,3622.802414,collision
3.063514,169,3661.822422,goal_reached
2.18295,197,3706.629732,goal_reached
-1.24322,217,3755.570198,collision
-1.787729,85,3777.7283,collision
-1.443864,89,3800.576238,collision
2.152928,270,3859.837889,goal_reached
-0.190569,227,3910.651678,goal_reached
-1.872167,547,4025.795844,goal_reached
4.068481,183,4067.756166,goal_reached
3.795489,161,4105.288697,goal_reached
3.709086,159,4142.311405,goal_reached
3.336063,205,4188.619929,goal_reached
-1.654017,75,4208.831515,collision
1.458819,294,4273.004305,goal_reached
3.73377,242,4326.977844,goal_reached
-11.032516,436,4919.481276,no_progress
-4.950217,323,4989.738173,collision
-0.433779,210,5036.900424,goal_reached
-2.369854,160,5074.17043,collision
-2.676996,149,5109.185087,collision
-1.112848,76,5129.423616,collision
-1.206887,77,5149.897284,collision
-0.190726,224,5200.04777,goal_reached
2.609575,334,5272.459727,goal_reached
2.816027,165,5311.003345,goal_reached
2.13074,208,5357.977689,goal_reached
3.385528,193,5402.038048,goal_reached
-5.995391,284,5464.327153,collision
3.524118,151,5499.649579,goal_reached
-2.620158,116,5528.131081,collision
3.238927,233,5580.077047,goal_reached
1.191388,221,5629.745034,goal_reached
3.188904,170,5668.94673,goal_reached
3.628417,257,5725.675696,goal_reached
-1.238112,143,5759.685302,collision
0.631472,337,5832.4407,goal_reached
2.556847,250,5888.011323,goal_reached
-0.865254,129,5919.261971,collision
3.459136,143,5953.072771,goal_reached
2.691067,192,6625.977583,goal_reached
3.643575,259,6683.357376,goal_reached
-1.472555,73,6703.304167,collision
3.115026,159,6740.465602,goal_reached
2.527639,278,6801.616067,goal_reached
3.756666,206,6848.548925,goal_reached
-1.307947,159,6885.620412,collision
4.149645,166,6924.012529,goal_reached
-1.040812,242,6977.926557,goal_reached
1.951762,172,7017.725823,goal_reached
-0.850405,45,7031.949105,collision
1.889593,236,7084.659999,goal_reached
1.487768,152,7120.163116,goal_reached
2.741601,213,7168.131681,goal_reached
-3.194153,248,7223.301508,collision
4.176691,155,7259.604291,goal_reached
-2.001817,140,7293.038231,collision
-0.459679,348,7367.998668,goal_reached
3.081604,219,7417.063472,goal_reached
-0.244734,118,7445.904206,collision
2.891385,104,7471.887691,goal_reached
3.176196,105,7498.258415,goal_reached
2.126365,206,7544.800336,goal_reached
1.581046,210,7592.313369,goal_reached
-0.813812,200,7637.884237,collision
-2.283327,316,7706.406106,collision
3.489944,308,8220.821569,goal_reached
-2.146866,120,8250.106596,collision
-0.891945,148,8284.901576,collision
2.269107,285,8347.303668,goal_reached
0.489981,259,8404.366338,goal_reached
3.277241,167,8443.080202,goal_reached
-1.293888,65,8461.352384,collision
3.47968,138,8494.080219,goal_reached
0.912496,210,8541.527515,goal_reached
-0.682998,207,8588.337622,collision
-1.344934,63,8606.030457,collision
2.493068,160,8643.343427,goal_reached
0.858819,290,8706.82959,goal_reached
2.729543,331,8778.837554,goal_reached
-2.404665,225,8829.228333,collision
3.451546,199,8874.425705,goal_reached
