#{"t_start": 1753711455.9334316, "env_id": "None"}
r,l,t,reason
-34.149495,455,97.024809,goal_reached
-13.284339,237,150.061328,goal_reached
-30.891993,358,227.369129,goal_reached
-15.840959,246,282.232453,goal_reached
-8.444533,224,332.738789,goal_reached
-12.632513,230,384.269455,goal_reached
-9.013923,223,434.41632,goal_reached
-23.265061,326,505.502007,goal_reached
-4.814122,176,546.19307,goal_reached
-28.004141,345,620.975449,goal_reached
-13.158859,239,674.278128,goal_reached
-13.86106,296,739.080223,goal_reached
-21.551585,306,805.982459,goal_reached
-17.423877,266,864.886115,goal_reached
-43.110725,416,953.839632,collision
-16.261442,204,1000.081333,collision
-45.524777,627,2299.51821,goal_reached
-4.604103,86,2321.963246,collision
-24.050332,325,2392.590566,goal_reached
-8.087966,208,2439.661839,goal_reached
-36.309465,390,2523.537481,goal_reached
-11.240466,224,2573.855416,goal_reached
-2.064296,154,2610.053737,goal_reached
-9.685256,216,2658.746271,goal_reached
-13.339468,233,2710.889662,goal_reached
-4.833822,187,2753.750894,goal_reached
-3.579821,44,2767.773818,collision
-19.543053,285,2830.26417,goal_reached
-9.321252,208,2877.379224,goal_reached
-9.008396,207,2924.215328,goal_reached
-18.235294,297,2989.223236,collision
-10.50155,110,3016.598094,collision
-27.370081,313,3084.720248,goal_reached
-27.715611,289,3148.115004,goal_reached
-20.342458,310,3215.73732,goal_reached
-5.371215,184,3258.091981,goal_reached
-1.715251,315,3326.802823,no_progress
-29.881425,447,4756.345401,goal_reached
-4.524756,177,4797.179286,goal_reached
-7.424205,72,4816.852422,collision
-6.204919,204,4863.055298,goal_reached
-10.737357,260,4920.646623,goal_reached
-22.278661,272,4980.65534,collision
-29.114464,309,5047.996079,collision
-7.340413,113,5075.841929,collision
-18.251431,266,5134.555795,goal_reached
-23.852083,256,5191.34979,collision
-18.099912,201,5236.851219,collision
-8.652808,193,5280.885693,goal_reached
-5.893288,83,5302.750287,collision
-6.932939,197,5347.594074,goal_reached
-4.295997,179,5388.839547,goal_reached
-2.385786,174,5429.06173,goal_reached
-21.057814,254,5485.388555,collision
-12.179817,327,5556.356656,no_progress
-23.380756,225,5606.851217,collision
-42.771513,416,5695.768467,collision
-2.029845,171,5735.398498,goal_reached
-6.824463,191,5778.994311,goal_reached
-6.841079,183,5821.032758,goal_reached
-16.990277,364,6434.551739,goal_reached
-8.557813,197,6479.419065,goal_reached
-10.152849,210,6526.939979,goal_reached
-16.04179,213,6575.240473,collision
-7.270382,192,6619.036469,goal_reached
-15.520829,266,6677.703695,no_progress
-51.761109,578,6799.449038,collision
-19.286596,267,6858.313736,goal_reached
-12.188021,98,6883.289446,collision
-14.281237,238,6936.420834,goal_reached
-28.87477,366,7015.556606,goal_reached
-23.727747,311,7083.456228,goal_reached
-28.81648,399,7169.066342,goal_reached
-2.496107,164,7207.27641,goal_reached
-3.096018,161,7244.903882,goal_reached
-14.30172,260,7302.509187,goal_reached
-4.08923,175,7342.959675,goal_reached
