#{"t_start": 1752082681.5542989, "env_id": "None"}
r,l,t,reason
1.54538,71,21.253116,goal_reached
-1.582583,265,81.003379,collision
-2.694172,155,118.018237,collision
-0.462082,224,169.373651,no_progress
0.980522,150,204.933269,goal_reached
1.545299,126,235.755096,goal_reached
-1.858445,212,283.973154,goal_reached
-2.735364,95,308.635002,collision
-1.44889,33,320.565151,collision
-1.358115,49,335.769719,collision
-0.789505,158,372.848902,goal_reached
1.71278,87,395.927902,goal_reached
-1.315921,59,413.257131,collision
-3.166085,131,445.118786,collision
1.278223,171,484.909969,goal_reached
1.393614,83,507.08888,goal_reached
-1.153982,34,519.215978,collision
-2.806707,127,550.186081,collision
-1.447056,30,561.466036,collision
0.752824,100,587.037496,goal_reached
-0.476997,184,629.812769,goal_reached
-0.369311,189,673.386297,goal_reached
-1.573598,37,686.20526,collision
-1.060803,105,712.726825,goal_reached
-1.358405,46,727.433784,collision
-0.969258,137,760.507505,goal_reached
-0.681905,115,789.076256,collision
-1.425843,36,801.584349,collision
1.058569,104,827.923677,goal_reached
-1.364169,83,850.372855,collision
0.514118,143,884.81019,goal_reached
-2.030868,43,899.02115,collision
-1.346321,43,913.05663,collision
-1.151783,29,924.168686,collision
1.012008,119,953.569108,goal_reached
-1.428257,29,964.727288,collision
-1.553963,97,989.609824,collision
-2.714919,207,1036.762488,collision
-0.051489,133,1068.999581,goal_reached
-1.468549,69,1088.382811,collision
1.183577,101,1114.087774,goal_reached
-1.271976,35,1126.493153,collision
1.635229,122,1156.47203,goal_reached
-1.91453,218,1205.710679,collision
-1.425028,335,1463.437889,goal_reached
0.101319,144,1497.736682,goal_reached
-1.037394,124,1527.972441,collision
-0.372976,180,1569.386752,goal_reached
0.662015,165,1607.964817,goal_reached
1.675375,181,1649.807256,goal_reached
-1.113103,66,1668.289618,collision
1.188522,108,1695.177465,goal_reached
1.092495,113,1723.185428,goal_reached
0.151655,133,1755.328249,goal_reached
-1.623665,92,1779.051628,collision
-1.840076,64,1797.021843,collision
1.57082,87,1819.643105,goal_reached
-0.249779,165,1858.236496,goal_reached
0.349667,181,1899.973212,goal_reached
-1.148803,65,1918.279126,collision
-1.241179,76,1938.673548,collision
1.135241,125,1969.019382,goal_reached
-1.294073,77,1989.847193,collision
-1.588419,130,2021.188159,collision
1.483424,193,2065.466246,goal_reached
1.679733,198,2110.685243,goal_reached
1.174255,147,2145.568007,goal_reached
-1.055365,222,2195.536544,goal_reached
-2.759068,264,2254.15379,no_progress
-0.984481,231,2306.018529,goal_reached
-1.499025,40,2319.267904,collision
0.752397,118,2348.162474,goal_reached
-0.579454,187,2391.274709,goal_reached
-1.646831,281,2453.315275,goal_reached
-2.565565,93,2477.390945,collision
0.259619,180,2518.896489,goal_reached
1.390856,114,2547.095327,goal_reached
1.265426,91,2570.67366,goal_reached
-0.058707,147,2605.589478,goal_reached
-2.067363,56,2622.04887,collision
1.755342,134,3150.823754,goal_reached
-1.803156,59,3167.903538,collision
1.302732,101,3193.350012,goal_reached
-0.231727,166,3232.07014,goal_reached
-0.325004,147,3266.982234,goal_reached
-0.186713,113,3294.995176,goal_reached
-1.417332,31,3306.406587,collision
-2.565432,73,3326.27438,collision
-1.222683,93,3350.188012,collision
-1.422652,42,3363.720784,collision
0.96567,154,3400.030924,goal_reached
1.526012,115,3428.477854,goal_reached
-2.018886,110,3455.860778,collision
-0.879061,168,3494.946737,collision
-1.209812,65,3513.115511,collision
1.326023,89,3536.258636,goal_reached
-0.701489,155,3572.74954,goal_reached
1.385141,108,3599.825287,goal_reached
0.41592,169,3639.192623,goal_reached
-2.783098,88,3662.127831,collision
-1.481441,138,3695.072247,collision
-1.403704,170,3734.583602,collision
-0.283949,136,3767.182412,goal_reached
-2.020753,62,3784.912935,collision
1.69129,141,3818.479483,goal_reached
1.5405,68,3837.451905,goal_reached
1.375984,99,3862.634859,goal_reached
0.830194,154,3898.917867,goal_reached
0.672386,125,3929.340541,goal_reached
-3.264574,130,3960.81605,collision
-0.911277,313,4029.345147,goal_reached
-2.331865,122,4059.206199,collision
-2.006167,141,4092.731063,collision
1.164441,178,4133.828101,goal_reached
-2.180621,101,4159.41463,collision
1.53336,101,4184.883042,goal_reached
1.453752,93,4208.932404,goal_reached
-1.500692,31,4220.321822,collision
-0.378624,249,4275.821953,goal_reached
-2.80214,123,4305.861422,collision
1.154044,293,4569.426413,goal_reached
-0.327238,155,4605.873266,goal_reached
-1.132916,153,4642.009373,collision
-1.202006,48,4656.77573,collision
-2.337596,84,4678.799419,collision
1.613293,157,4715.572329,goal_reached
1.531509,125,4746.017658,goal_reached
-1.712968,35,4758.232776,collision
1.32999,108,4785.141743,goal_reached
1.382752,89,4808.294979,goal_reached
-1.774162,96,4832.910553,collision
0.907025,97,4857.622281,goal_reached
-0.11716,98,4882.677551,goal_reached
-1.331627,42,4896.300945,collision
1.45959,93,4920.217993,goal_reached
-1.233106,59,4937.324167,collision
-3.143822,113,4965.227701,collision
-1.554924,103,4991.186283,collision
-4.103025,106,5017.725387,collision
-1.494743,73,5037.573791,collision
1.472753,74,5057.565893,goal_reached
0.626141,219,5107.009734,goal_reached
0.746743,121,5136.669989,goal_reached
-3.855389,237,5189.711195,no_progress
-2.640811,101,5215.304832,collision
1.504487,85,5237.575638,goal_reached
-1.72206,111,5265.214648,collision
-2.766586,96,5289.713686,collision
-1.985451,310,5357.722969,collision
-0.299286,236,5410.598923,goal_reached
0.750445,165,5449.074073,goal_reached
1.155659,164,5487.391052,goal_reached
-2.544788,118,5516.375584,collision
1.074219,141,5550.025867,goal_reached
-0.241467,211,5597.943338,no_progress
-0.611622,220,5647.698832,goal_reached
1.682145,97,5672.528188,goal_reached
-0.488277,351,5748.647574,goal_reached
-0.614355,246,6201.892694,goal_reached
1.497671,90,6225.276789,goal_reached
1.482638,101,6250.980597,goal_reached
-1.63632,274,6311.549123,goal_reached
1.162238,92,6335.282487,goal_reached
0.303185,196,6380.12497,goal_reached
1.23309,94,6404.261471,goal_reached
-2.52423,317,6473.550659,collision
-1.774514,101,6499.059249,collision
0.617484,180,6540.611211,goal_reached
-1.490426,63,6558.488514,collision
-1.172078,211,6606.24081,goal_reached
-0.88653,102,6632.006946,collision
1.346318,93,6655.862654,goal_reached
0.833539,151,6691.66068,goal_reached
1.585141,81,6713.184698,goal_reached
-1.677876,76,6733.759634,collision
1.062398,130,6765.140364,goal_reached
-1.272968,70,6784.432636,collision
-2.935409,246,6839.398529,collision
1.53234,89,6862.443392,goal_reached
0.84636,135,6894.922061,goal_reached
-1.578475,227,6946.046824,goal_reached
0.509338,168,6985.192014,goal_reached
-1.746782,386,7068.45026,goal_reached
0.245292,128,7099.496902,goal_reached
-0.940599,114,7127.751813,collision
1.260176,149,7162.941945,goal_reached
-1.626854,136,7195.636415,collision
1.083147,141,7229.212,goal_reached
-2.649264,564,7531.764211,goal_reached
-7.578628,158,7568.884923,collision
-1.527912,129,7599.952588,collision
-0.106961,108,7626.84306,goal_reached
-1.310266,50,7642.070453,collision
0.750069,167,7681.033676,goal_reached
-1.933451,44,7695.085346,collision
-2.317488,131,7726.649722,collision
1.614246,118,7755.626795,goal_reached
-1.47639,28,7766.514819,collision
-2.517332,85,7788.729919,collision
-2.533012,109,7815.890951,collision
-1.705439,156,7852.523793,collision
0.785273,130,7883.933385,goal_reached
1.389633,150,7919.520822,goal_reached
-0.775913,343,7993.953438,goal_reached
1.434621,123,8023.981157,goal_reached
-0.196879,213,8072.416656,goal_reached
1.102786,108,8099.409358,goal_reached
-4.024843,168,8138.455953,collision
0.52144,228,8189.615273,goal_reached
0.241545,186,8232.392993,goal_reached
-1.117217,61,8249.877715,collision
1.430646,106,8276.36781,goal_reached
-1.218469,92,8300.133412,collision
-2.091236,124,8330.299171,collision
1.263046,143,8364.291224,goal_reached
-0.959283,251,8420.336608,goal_reached
-2.328638,64,8438.603113,collision
-2.135497,144,8472.842362,collision
1.435816,163,8510.896138,goal_reached
-1.668337,118,8539.932298,collision
-2.978892,89,8562.997515,collision
-2.698818,158,8599.992293,collision
-1.966353,156,8636.632793,collision
-1.504752,27,8647.310935,collision
-2.099696,136,8679.906558,collision
-1.829878,155,8816.440115,collision
1.222658,76,8836.862683,goal_reached
1.198723,105,8863.23847,goal_reached
-1.914681,42,8876.895167,collision
1.611365,99,8901.959547,goal_reached
0.915637,106,8928.621198,goal_reached
1.349731,107,8955.403755,goal_reached
-1.169562,123,8985.435821,collision
-0.012085,233,9037.688152,goal_reached
0.28117,106,9064.251526,goal_reached
0.485973,116,9092.886323,goal_reached
-2.218028,47,9107.58624,collision
-3.504138,333,9179.998851,goal_reached
-1.102095,90,9203.383787,collision
1.299432,86,9225.824562,goal_reached
-0.770088,142,9259.713165,goal_reached
-1.502221,317,9328.988613,goal_reached
0.291629,271,9388.918817,goal_reached
0.6821,144,9423.211827,goal_reached
0.856396,133,9455.247846,goal_reached
0.031678,137,9488.10121,goal_reached
1.639939,118,9517.139662,goal_reached
-0.607964,332,9589.431621,goal_reached
1.548046,64,9607.512211,goal_reached
-2.213766,75,9627.802868,collision
-2.925135,141,9661.456268,collision
-0.299411,288,9724.804014,goal_reached
1.375678,70,9744.09495,goal_reached
-1.682499,44,9758.183795,collision
-1.379131,133,9790.121503,goal_reached
-3.12276,201,9835.962223,goal_reached
-0.905606,99,9861.080924,collision
-1.903001,56,9877.502113,collision
-2.42161,76,9897.958201,collision
1.543193,73,9917.787844,goal_reached
