step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,0,-5.002054954609617,"[-0.00010371775307425291, -0.0005635983563280158, -0.00039373607393471105, 2.415743350982666, 2.4162724018096924, 2.4162938594818115, -1.5631468899558416, -1.5697009649661386, -1.5303765149043564, 15.01441090448113, 0.13024193821615349, 0.5, 0.10105262696743013]",0.5,0.10105262696743013,2.415743350982666,15.01441090448113
1,3,0.13687763931403552,"[0.04284987352778436, 0.03691901825942613, 0.033757212868547944, 2.411607503890991, 2.4127089977264404, 2.4130356311798096, -1.5369305899146535, -1.5434846649249505, -1.5565928149455446, 14.995154966254699, 0.13317118569413244, 0.5, 0.10105262696743013]",0.5,0.10105262696743013,2.411607503890991,14.995154966254699
2,3,0.14567093349120797,"[0.0814461177278974, 0.08673557031607879, 0.08511318521911743, 2.403468608856201, 2.4040415287017822, 2.4045302867889404, -1.5434846649249505, -1.5369305899146535, -1.5303765149043564, 14.970416529470054, 0.14402970039041074, 0.5, 0.10105262696743013]",0.5,0.10105262696743013,2.403468608856201,14.970416529470054
3,3,0.153363133151984,"[0.0356352047679159, 0.03243222114153141, 0.032519596143543335, 2.399773597717285, 2.4006786346435547, 2.401158332824707, -1.5303765149043564, -1.5434846649249505, -1.5631468899558416, 14.940770156360626, 0.15464806533435427, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.399773597717285,14.940770156360626
4,0,0.144026291917826,"[-0.011823891160522378, -0.006452786027666787, -0.002879042898904798, 2.4009828567504883, 2.401338577270508, 2.4014527797698975, -1.5434846649249505, -1.5369305899146535, -1.5041602148631683, 14.91582398848174, 0.154330219199728, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.4009828567504883,14.91582398848174
5,0,0.1436528776607573,"[0.002764639585400391, 0.005394418703220275, 0.003908545337199334, 2.4007091522216797, 2.4008045196533203, 2.4010658264160156, -1.5369305899146535, -1.5500387399352475, -1.5565928149455446, 14.891365330000397, 0.15132219650964673, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.4007091522216797,14.891365330000397
6,0,0.14496719609115313,"[-0.011401083292299535, -0.01789941668876179, -0.01567648952691186, 2.401857376098633, 2.4026072025299072, 2.402644634246826, -1.5631468899558416, -1.5565928149455446, -1.5172683648837624, 14.866645170320627, 0.1473656163419359, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.401857376098633,14.866645170320627
7,0,0.14496895054300413,"[0.005778609897603032, 0.0100224210064027, 0.00979358805445762, 2.401261329650879, 2.401573419570923, 2.401634454727173, -1.5107142898734653, -1.5303765149043564, -1.5369305899146535, 14.841920524987394, 0.14740170061730984, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.401261329650879,14.841920524987394
8,0,0.1449247795037199,"[0.02159828765155433, 0.014542511827462698, 0.013764389281541497, 2.3991105556488037, 2.40012526512146, 2.400263786315918, -1.5303765149043564, -1.5631468899558416, -1.5434846649249505, 14.817195871695082, 0.14762263540451803, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.3991105556488037,14.817195871695082
9,0,0.14488221373660468,"[0.016477611090416885, 0.01869360659199347, 0.012192720431051459, 2.3974547386169434, 2.3982467651367188, 2.399038553237915, -1.5500387399352475, -1.5369305899146535, -1.5434846649249505, 14.792470395843534, 0.14784368983246132, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.3974547386169434,14.792470395843534
10,0,0.13495758945220052,"[0.013195305263836984, 0.013471791492518743, 0.014775884871134378, 2.3960893154144287, 2.396852731704712, 2.3975095748901367, -1.5434846649249505, -1.5500387399352475, -1.5238224398940594, 14.772689390416533, 0.14802210700900886, 0.5, 0.5726315379142761]",0.5,0.5726315379142761,2.3960893154144287,14.772689390416533
