step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,6,-0.039250091009201474,"[0.0011183141278143427, 0.001193907486976706, -0.00021781797820495387, 2.3675220012664795, 2.3686490058898926, 2.3695998191833496, 1.4713898398116831, 1.432065389749901, 1.4779439148219802, 14.864375251280817, -0.09415622663353762, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,2.3675220012664795,14.864375251280817
1,6,0.0661839291319741,"[0.00967039941968536, 0.019120913995556967, 0.02645872058756857, 2.3665049076080322, 2.366637945175171, 2.366816997528076, 1.432065389749901, 1.464835764801386, 1.4844979898322772, 14.82257048476122, -0.09436908255648868, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,2.3665049076080322,14.82257048476122
2,6,0.0703172744986286,"[0.012397259305017849, 0.009551406893234558, 0.009900359798739053, 2.365251302719116, 2.3656721115112305, 2.3658158779144287, 1.458281689791089, 1.464835764801386, 1.5041602148631683, 14.772475968689646, -0.09459967074317266, 0.5, 0.0]",0.5,0.0,2.365251302719116,14.772475968689646
3,6,0.0616067822840686,"[-0.07647084556607625, -0.07623510197732973, -0.07522650827289873, 2.372753143310547, 2.3731508255004883, 2.3731956481933594, 1.4713898398116831, 1.4976061398528713, 1.451727614780792, 14.743111798804602, -0.061506053169067876, 0.5, 0.0]",0.5,0.0,2.372753143310547,14.743111798804602
4,6,0.07346222350296489,"[-0.15574858334003006, -0.1526827046942766, -0.15463084045011677, 2.3880019187927246, 2.388099431991577, 2.3883349895477295, 1.5303765149043564, 1.5500387399352475, 1.5369305899146535, 14.69317085490788, -0.030164968907922418, 0.5, 0.10105262696743013]",0.5,0.10105262696743013,2.3880019187927246,14.69317085490788
5,6,0.07472189244471054,"[-0.08370567301848011, -0.08907386013019129, -0.08945663924576275, 2.396604537963867, 2.3972537517547607, 2.397528648376465, 1.5565928149455446, 1.5434846649249505, 1.5369305899146535, 14.643184239726645, -0.005428302918133898, 0.5, 0.10105262696743013]",0.5,0.10105262696743013,2.396604537963867,14.643184239726645
6,6,0.07449358107569365,"[-0.08533071319924042, -0.08023373359660642, -0.0780442525532136, 2.4052181243896484, 2.405352830886841, 2.4054067134857178, 1.5697009649661386, 1.5434846649249505, 1.5303765149043564, 14.593193693684825, 0.010033838904335735, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,2.4052181243896484,14.593193693684825
7,6,0.07394111489941418,"[-0.012218670781439435, -0.011541937617105699, -0.01202468863661413, 2.4065396785736084, 2.4066011905670166, 2.406707286834717, 1.5697009649661386, 1.5828091149867327, 1.5500387399352475, 14.54318925918431, 0.021222047016866696, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,2.4065396785736084,14.54318925918431
8,6,0.07330313040321361,"[0.001440744247314041, -0.0013753659369317233, -0.007201299817667157, 2.406397819519043, 2.4067366123199463, 2.407416343688965, 1.5828091149867327, 1.5762550399764357, 1.5500387399352475, 14.4932036359367, 0.03379362441182243, 0.5, 0.16842104494571689]",0.5,0.16842104494571689,2.406397819519043,14.4932036359367
9,6,0.0677335199884863,"[-0.011175910275207082, -0.013844401072065594, -0.010977466077715417, 2.407539129257202, 2.4081504344940186, 2.4085373878479004, 1.5762550399764357, 1.5828091149867327, 1.5959172650073268, 14.453232542180576, 0.045040537791515955, 0.5, 0.16842104494571689]",0.5,0.16842104494571689,2.407539129257202,14.453232542180576
