step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,2,0.38616987495632943,"[0.0, 0.0, 0.641531229019165, 0.05822058394551277, 0.058351315557956696, 0.05841583013534546, 0.1250007152557373, 0.8749992847442627, 0.12708695232868195, 0.33687207102775574, 0.08269254118204117, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.8421940803527832,6.944795512988956
1,6,-5.585977103095275e-09,"[0.5, 0.5, 0.5, 0.05822058394551277, 0.058351315557956696, 0.05841583013534546, 0.1250007152557373, 0.8749992847442627, 0.12708695232868195, 0.33687207102775574, 0.08269254118204117, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.8421940803527832,6.944795624708498
2,2,-0.06206746516652437,"[0.5, 0.5, 0.5, 0.00671326695010066, 0.007002717349678278, 0.007118432782590389, 0.8051106929779053, 0.8103262186050415, 0.8061537742614746, 0.33898693323135376, 0.07531420141458511, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,0.40112483501434326,6.988394598067672
3,7,-0.076921695518904,"[0.0, 0.0, 0.0, 0.05530250445008278, 0.05537297576665878, 0.05634153634309769, 0.8739561438560486, 0.8749992847442627, 0.8729130625724792, 0.3463226556777954, 0.05521319434046745, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,0.3063978850841522,7.139624278614057
4,6,-0.008373892043985576,"[0.5, 0.5, 0.5, 0.06019163876771927, 0.06036730855703354, 0.06082162633538246, 0.8739561438560486, 0.8749992847442627, 0.8729130625724792, 0.35444653034210205, 0.0471702516078949, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.8443353176116943,7.307102119493768
5,6,-0.006899031926124621,"[0.5, 0.5, 0.5, 0.06347476691007614, 0.06406117230653763, 0.0644320473074913, 0.8739561438560486, 0.8749992847442627, 0.8718699216842651, 0.36113956570625305, 0.03872600197792053, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.9903744459152222,7.445082758016261
6,6,-0.005456272267632301,"[0.0, 0.0, 0.0, 0.06578635424375534, 0.06600785255432129, 0.06700854003429413, 0.8749992847442627, 0.8739561438560486, 0.8718699216842651, 0.36643293499946594, 0.03128432109951973, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,2.060096263885498,7.554208203368907
7,6,-0.004954277087632253,"[0.0, 0.0, 0.0, 0.0679045021533966, 0.0681988075375557, 0.0682007372379303, 0.6809802055358887, 0.8739561438560486, 0.8749992847442627, 0.3712392747402191, 0.02355232834815979, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,2.1235134601593018,7.653293745121552
8,6,-0.004986558547550768,"[1.0, 1.0, 1.0, 0.06645456701517105, 0.06667456030845642, 0.06675449013710022, 0.687238872051239, 0.69245445728302, 0.6841095089912415, 0.37607693672180176, 0.015245074406266212, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,2.1164278984069824,7.753024916072567
9,6,-0.004462134554016873,"[1.0, 1.0, 1.0, 0.06543171405792236, 0.06555137783288956, 0.06557700037956238, 0.6809802055358887, 0.6851526498794556, 0.6695059537887573, 0.38040584325790405, 0.007740646135061979, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,2.0764684677124023,7.8422676071529045
10,6,-0.005522702257995205,"[0.5, 0.5, 0.5, 0.06344583630561829, 0.0635618343949318, 0.06360816210508347, 0.6674197316169739, 0.6684628129005432, 0.6799370646476746, 0.38576367497444153, 0.0003386539756320417, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,2.0185792446136475,7.952721652312809
11,6,-0.0044997254840174255,"[0.5, 0.5, 0.5, 0.06184406206011772, 0.061889998614788055, 0.06200239062309265, 0.6684628129005432, 0.6778508424758911, 0.6632472276687622, 0.390129029750824, 0.9947969317436218, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.9709501266479492,8.042716161993157
12,2,-0.0054900635295514815,"[0.5, 0.5, 0.5, 0.05964497849345207, 0.05988118052482605, 0.05988383665680885, 0.6653334498405457, 0.6736783981323242, 0.6622041463851929, 0.39545518159866333, 0.9859055280685425, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.9080209732055664,8.152517432584187
13,2,-0.006172709276756816,"[0.5, 0.5, 0.5, 0.057401157915592194, 0.05768870562314987, 0.05770723894238472, 0.6590747833251953, 0.6642903685569763, 0.6517729759216309, 0.40144360065460205, 0.9844362735748291, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.8478974103927612,8.275971618119323
14,2,-0.008319309788171038,"[0.5, 0.5, 0.5, 0.05479423329234123, 0.054846398532390594, 0.054886702448129654, 0.6601179242134094, 0.6496867537498474, 0.658031702041626, 0.40951451659202576, 0.9834025502204895, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.765161395072937,8.442357813882744
15,2,-0.009378948212929573,"[0.5, 0.5, 0.5, 0.051654838025569916, 0.05169340968132019, 0.051827799528837204, 0.6569885611534119, 0.6622041463851929, 0.6653334498405457, 0.4186134338378906, 0.9869118332862854, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.6723732948303223,8.629936778141335
16,2,-0.009592151645466007,"[1.0, 1.0, 1.0, 0.048350270837545395, 0.04840514063835144, 0.04845172166824341, 0.658031702041626, 0.6674197316169739, 0.6622041463851929, 0.4279191792011261, 0.9860491752624512, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.5777631998062134,8.821779811050655
17,2,-0.009966156778603442,"[0.5, 0.5, 0.5, 0.04479404166340828, 0.044888753443956375, 0.044913262128829956, 0.6496867537498474, 0.6674197316169739, 0.6726352572441101, 0.43758776783943176, 0.9873965978622437, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.4743330478668213,9.021102946622724
18,2,-0.011120692944239964,"[1.0, 1.0, 1.0, 0.041137177497148514, 0.04146749898791313, 0.04149773344397545, 0.6726352572441101, 0.658031702041626, 0.6684628129005432, 0.4483764171600342, 0.9887232780456543, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.3733558654785156,9.243516805507523
19,2,-0.010923582551010825,"[0.5, 0.5, 0.5, 0.038093529641628265, 0.038138654083013535, 0.03823312744498253, 0.6653334498405457, 0.6757646203041077, 0.6674197316169739, 0.45897385478019714, 0.9886301755905151, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.2718346118927002,9.46198845652774
20,2,-0.009928114193407911,"[0.5, 0.5, 0.5, 0.034787025302648544, 0.034981001168489456, 0.034983664751052856, 0.6455143094062805, 0.6601179242134094, 0.6663765907287598, 0.46860554814338684, 0.990146815776825, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.1761714220046997,9.660550740395898
21,2,-0.008984640525255383,"[0.5, 0.5, 0.5, 0.03144766762852669, 0.03148866444826126, 0.03171788528561592, 0.6653334498405457, 0.6684628129005432, 0.6851526498794556, 0.47732192277908325, 0.991278886795044, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,1.0756378173828125,9.840243550901006
22,2,-0.014471966251411585,"[1.0, 1.0, 1.0, 0.028239712119102478, 0.02826002798974514, 0.02835002914071083, 0.6726352572441101, 0.6757646203041077, 0.676807701587677, 0.48866522312164307, 0.9924221634864807, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,0.9722044467926025,10.074091769514443
23,2,-0.02021952808842773,"[0.5, 0.5, 0.5, 0.02493647299706936, 0.02520112134516239, 0.02540482021868229, 0.6559454798698425, 0.6684628129005432, 0.6695059537887573, 0.4973883330821991, 0.9934261441230774, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,0.8877204656600952,10.253923262603188
24,2,-0.03159185868940808,"[0.5, 0.5, 0.5, 0.021795013919472694, 0.02211051993072033, 0.022164538502693176, 0.6893250942230225, 0.676807701587677, 0.6622041463851929, 0.5078681111335754, 0.9944327473640442, 0.75, 0.488771915435791]",0.5,-0.03368420898914337,0.7921043634414673,10.469969163274284
