#{"t_start": 1749968972.9038224, "env_id": "None"}
r,l,t
-0.511777,16,6.01312
-0.531559,24,11.708531
-0.543641,24,17.396321
-0.143541,143,47.079802
-0.262714,36,55.298671
-0.287524,133,82.98629
0.881619,216,127.640072
0.673132,162,161.313673
0.700038,1,162.364963
-0.509949,35,170.319592
-0.573205,75,186.355388
-0.652299,37,194.740814
-0.605691,78,211.363972
-0.667007,42,220.791686
-0.563539,103,242.490197
0.775527,165,276.776847
0.700588,1,277.823352
-0.503675,26,283.915909
-0.596101,97,304.442577
-0.663812,24,310.159086
-0.545231,9,312.814833
-0.532689,31,319.94208
-0.551874,86,338.197145
-0.68935,39,346.96655
0.829885,200,388.324149
0.700949,1,389.392564
-0.50821,40,398.404983
-0.594432,141,427.850692
-0.773471,35,435.759807
-0.59626,155,468.022045
-0.840616,76,484.315176
-0.609945,57,496.654873
-0.615961,7,498.928066
-0.507724,42,508.2675
-0.59104,3,509.734021
-0.510204,5,511.60992
-0.490775,68,526.214113
-0.671639,10,529.09517
-0.526084,48,539.634856
-0.590993,52,550.99153
-0.656276,97,571.39457
-0.643265,20,576.403926
-0.536792,5,578.277211
-0.515318,93,598.011652
-0.694491,10,600.85253
-0.522107,6,602.904438
-0.504987,43,612.397631
0.88203,164,646.323675
-0.796624,26,652.461027
-0.579332,38,660.969709
-0.610112,104,682.764198
-0.671287,32,690.169989
-0.569896,39,698.887834
-0.579518,54,710.655477
-0.603334,18,715.124359
-0.581859,161,748.492871
-0.85213,128,775.207713
-0.219912,21,780.266637
-0.518395,100,801.39485
0.793295,161,834.971552
0.70066,1,836.014339
-0.503935,6,838.062619
-0.513222,23,843.594653
-0.577276,102,865.083633
-0.68607,27,871.39399
-0.54642,88,890.031849
0.697374,208,933.099086
0.700666,1,934.148329
-0.510095,92,953.568397
0.749785,185,991.843266
-0.855837,158,1024.591491
-0.345727,45,1034.627109
-0.087901,41,1043.715612
-0.507665,5,1045.705316
-0.51699,105,1067.83807
-0.800087,55,1353.422397
-0.523783,41,1362.594847
-0.580376,111,1385.955766
-0.728753,110,1409.130794
-0.743288,69,1423.985274
-0.197272,142,1453.686193
-0.708677,45,1463.618975
-0.585273,19,1468.328238
-0.556423,79,1485.170622
-0.651416,9,1487.843249
-0.522619,50,1498.815515
-0.595495,18,1503.319501
-0.528683,44,1513.080443
0.856952,166,1547.496689
0.941425,1,1548.530668
-0.502967,18,1553.015907
0.881193,189,1592.117006
0.701494,1,1593.163758
-0.546222,92,1612.673252
-0.653467,8,1615.141059
0.888034,200,1656.491207
0.700736,1,1657.553114
-0.51181,72,1673.006269
-0.655242,26,1679.152361
-0.547418,77,1695.59243
-0.673608,99,1716.440749
-0.684441,39,1725.292475
-0.589354,43,1734.809727
-0.172756,43,1744.413692
-0.069132,43,1753.920716
-0.510445,3,1755.511264
0.958153,168,1790.246161
-0.807028,25,1796.230693
-0.56211,99,1817.038862
0.720575,196,1857.55949
0.700558,1,1858.61889
-0.506497,118,1883.262597
-0.756763,121,1908.598782
0.747306,165,1942.731111
0.701057,1,1943.804697
-0.522685,51,1954.949086
-0.580716,26,1961.055686
-0.605941,103,1982.685591
0.796186,169,2017.626174
0.997823,1,2018.672595
-0.509531,25,2024.579632
-0.566262,112,2048.025923
-0.736312,58,2060.589652
-0.585026,14,2064.282569
-0.532331,6,2066.390762
-0.550172,24,2072.049414
0.989712,147,2102.568501
0.701924,1,2103.618524
-0.51263,38,2112.143421
0.882467,174,2148.156005
0.700879,1,2149.197205
0.982335,157,2181.757637
0.702608,1,2182.823884
-0.511022,64,2196.658946
0.794475,191,2236.2496
-0.863368,121,2261.58452
