#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
-0.491519,114,27.80373,collision
0.912289,205,72.206385,goal_reached
-1.321192,120,99.405228,collision
0.895211,185,139.937413,goal_reached
-1.34913,149,172.980307,collision
-1.288399,39,183.949298,collision
-1.013428,3,187.451905,collision
-0.586223,72,204.920661,collision
1.090935,199,248.203827,goal_reached
-1.530601,45,260.222893,collision
-0.887584,49,272.939827,collision
-0.912978,47,285.434844,collision
-0.913402,49,298.290662,collision
-0.916047,49,311.15858,collision
-0.262819,160,346.66634,no_progress
-1.096995,9,351.370712,collision
-0.676867,42,362.814094,collision
-0.89833,46,375.055145,collision
-0.907997,49,387.904898,collision
-0.884057,48,400.52485,collision
-0.898232,51,413.749085,collision
-0.942009,46,426.073528,collision
-0.891603,48,438.678037,collision
-0.902226,49,451.517527,collision
-0.904125,49,464.38756,collision
-0.879904,59,479.277498,collision
-0.859475,79,498.237447,collision
-0.827464,111,523.794436,collision
-1.388913,5,527.585024,collision
-0.655775,49,540.425844,collision
-0.909615,49,553.261677,collision
-0.9246,49,566.179683,collision
-0.899309,50,579.21049,collision
-0.893252,49,592.038351,collision
-0.93668,47,604.497898,collision
-0.950338,29,613.267814,collision
-0.676653,100,636.433616,collision
1.026607,178,675.441027,goal_reached
0.659332,171,713.020458,goal_reached
0.635743,180,752.424383,goal_reached
0.657696,168,789.408641,goal_reached
0.646139,176,827.970867,goal_reached
0.657612,171,865.525231,goal_reached
0.633474,184,905.741833,goal_reached
-0.622598,258,961.172873,no_progress
-1.403309,49,974.099178,collision
-0.921444,48,986.684334,collision
-0.902765,50,999.772966,collision
-1.056154,4,1003.350061,collision
1.482896,185,1043.69011,goal_reached
0.640218,180,1083.017995,goal_reached
-1.670062,4,1086.594012,collision
-0.501495,109,1111.656183,collision
-1.032974,164,1147.834066,collision
-1.060841,113,1173.707524,collision
-1.296075,53,1279.941811,collision
-0.870175,47,1292.34344,collision
-0.94665,32,1301.754225,collision
-0.696068,97,1324.317802,collision
-0.774515,157,1359.077057,collision
-1.185298,156,1393.674923,collision
-1.389047,49,1406.48738,collision
-0.911444,50,1419.564283,collision
-0.852751,53,1433.202351,collision
-1.078666,19,1440.074607,collision
1.412416,168,1476.883701,goal_reached
-1.355818,105,1501.033935,collision
0.967626,183,1541.181986,goal_reached
0.667468,166,1577.667112,goal_reached
-1.214709,147,1610.286476,collision
-1.41555,49,1623.213032,collision
-0.887423,47,1635.47328,collision
-0.907418,49,1648.284144,collision
-1.06338,3,1651.885977,collision
1.453614,198,1694.778818,goal_reached
-1.667485,5,1698.553888,collision
-0.651441,51,1711.758914,collision
-0.919496,49,1724.582197,collision
-0.767593,89,1745.55999,collision
1.050177,169,1782.697487,goal_reached
-0.660112,275,1841.31154,no_progress
-0.79392,152,1875.073683,no_progress
-0.944381,72,1892.576153,collision
-0.9571,40,1903.57041,collision
-0.8635,48,1916.214338,collision
-0.909944,47,1928.575881,collision
-0.901804,51,1941.731581,collision
-1.056839,3,1945.224879,collision
1.473168,185,1985.462619,goal_reached
0.633214,185,2025.796601,goal_reached
-1.33903,117,2052.383857,collision
-1.355172,9,2057.21331,collision
-0.726347,43,2068.804286,collision
-0.876331,48,2081.441128,collision
-0.88119,52,2094.742789,collision
-0.948897,45,2106.601675,collision
-0.736954,82,2126.05654,collision
-0.954714,120,2153.267058,collision
-1.019367,114,2179.244137,collision
-1.378499,3,2182.849564,collision
-0.670085,49,2195.664462,collision
-0.927554,39,2206.438016,collision
-0.849492,56,2220.718426,collision
-0.905159,64,2236.614437,collision
-0.692377,132,2266.374537,collision
-1.286405,62,2281.753467,collision
-0.890963,78,2300.578535,collision
-0.721979,158,2335.497019,collision
-1.469831,50,2348.511627,collision
-1.026073,4,2352.219312,collision
1.492047,180,2391.569302,goal_reached
0.637213,178,2430.500367,goal_reached
-1.664137,3,2434.019907,collision
-0.96416,78,2555.650969,collision
-0.476734,121,2582.975724,collision
-0.929925,156,2617.448485,collision
-1.472712,40,2628.564747,collision
-0.869689,46,2640.754644,collision
-1.030327,3,2644.260983,collision
-0.706891,37,2654.612228,collision
-0.813533,50,2667.60886,collision
-1.065386,8,2672.131334,collision
1.47795,170,2709.396881,goal_reached
0.629636,187,2750.154294,goal_reached
-1.511173,46,2762.340731,collision
-0.643635,176,2800.753584,collision
0.745175,170,2838.082897,goal_reached
0.642342,178,2876.975329,goal_reached
-1.25482,177,2915.651348,collision
0.737979,178,2954.770418,goal_reached
-1.479225,75,2972.729721,collision
-0.9852,44,2984.49603,collision
1.244525,184,3024.600953,goal_reached
-1.669502,3,3028.071956,collision
-0.809009,4,3031.791247,collision
-0.501988,112,3057.337597,collision
-1.08716,105,3081.545618,collision
-1.229227,13,3087.176707,collision
-0.721164,42,3098.551919,collision
-0.88594,48,3111.137125,collision
-1.063236,3,3114.627679,collision
-0.812739,4,3118.302622,collision
-0.497199,155,3152.547,collision
-1.201191,74,3170.543361,collision
1.134478,170,3207.807935,goal_reached
-1.411762,92,3229.013913,collision
-0.750209,179,3268.139845,collision
-1.645262,13,3273.761877,collision
-0.689045,64,3289.651167,collision
-0.949262,44,3301.536783,collision
-0.893606,48,3314.122591,collision
-1.013358,22,3321.469819,collision
1.412389,175,3359.776931,goal_reached
0.638239,181,3399.24826,goal_reached
-1.339101,114,3425.253322,collision
-1.368864,3,3428.846502,collision
-0.686806,49,3441.647783,collision
-1.033311,3,3445.135233,collision
-0.678074,45,3457.112871,collision
1.276966,176,3495.533849,goal_reached
0.633227,182,3535.208052,goal_reached
0.661764,167,3571.856011,goal_reached
0.641286,180,3611.107734,goal_reached
0.621198,189,3652.216991,goal_reached
0.659949,167,3688.866333,goal_reached
-1.814339,165,3780.241425,collision
-0.819551,74,3798.102149,collision
-0.987738,43,3809.772488,collision
-1.05097,4,3813.45212,collision
-0.74851,27,3821.791125,collision
-0.913557,12,3827.10731,collision
-0.863913,4,3830.785727,collision
-0.62087,68,3847.483444,collision
-0.987739,51,3860.68824,collision
-0.863411,95,3882.791306,collision
-0.873511,116,3909.179667,collision
-1.150241,92,3930.69225,collision
-1.029966,63,3946.341691,collision
1.133945,204,3990.487311,goal_reached
-1.622133,15,3996.403672,collision
-0.570936,116,4022.617875,collision
-1.050719,113,4048.040563,collision
-0.998315,109,4072.990508,collision
-1.032559,111,4098.447408,collision
-1.010286,128,4127.125535,collision
