#{"t_start": 1749413948.8402345, "env_id": "None"}
r,l,t
-1.227815,37,9.987838
-0.410676,27,16.340093
-1.217359,31,23.435157
-1.145245,5,25.290453
-1.05356,5,27.150027
-1.25174,40,36.079533
-1.19618,3,37.525384
-1.08129,10,40.39931
-0.426806,59,53.209562
-0.873743,58,65.770178
-1.327832,72,81.137148
-1.475119,28,87.707877
-1.143314,3,89.160921
-1.649404,104,111.073942
-2.196834,114,153.415435
-1.617927,41,162.552553
-1.778923,106,184.84667
-0.359347,166,314.664499
-2.689215,96,554.399114
-1.648374,104,673.445029
-1.520824,13,676.912624
-0.398544,51,737.074502
-1.362237,21,742.137301
-0.403048,40,799.901674
-1.455324,46,859.099415
-1.138074,14,862.770103
-1.162616,14,914.853873
-0.384387,41,923.954006
-1.658498,113,1093.44808
-1.727959,38,1101.954882
-1.283378,22,1457.811824
-1.274108,30,1513.444375
-1.306998,32,1520.755282
-1.361482,37,1577.678438
-1.314163,27,1584.000989
-1.027804,3,1633.957633
-1.091213,182,1817.089086
-2.051166,47,1876.263079
-3.323215,283,2473.446207
-2.058438,59,2535.048695
-2.092452,156,2713.640179
-2.377957,87,2780.962053
-1.886608,96,3193.438503
-1.645817,65,3256.073893
-0.309402,178,3439.290707
-0.671154,167,3620.309398
-2.145871,45,4042.407411
-1.256036,32,4098.469736
0.01353,160,4277.681238
-2.476501,122,4400.705047
-0.372804,162,4580.089742
-0.83282,183,5181.709088
-1.839948,10,5233.441293
-1.050158,5,5235.286142
-1.180711,25,5241.17092
-1.179155,10,5244.027477
-0.335349,33,5299.99244
-1.175979,18,5353.642457
-1.724315,117,5478.073936
-1.555987,13,5481.530247
-2.316989,147,6079.293714
-1.379415,40,6137.071255
-1.635757,72,6201.122081
-1.386275,15,6253.437812
-1.397316,53,6313.646022
-1.682596,76,6378.5065
-1.315868,3,6379.963038
-1.484456,77,6493.440666
-1.365466,9,6496.09854
-2.596512,147,6738.32166
-1.434601,46,6797.075051
-1.489019,59,6858.482422
-1.525403,52,6918.687716
-1.366461,159,7097.891985
-1.481333,41,7156.071101
-1.515723,58,7217.284378
-1.376679,14,7220.960764
-1.397615,42,7399.531684
-1.646471,113,7520.505882
-1.696701,20,7574.049364
-1.490065,68,7637.280494
-1.713358,70,7700.797763
-1.371871,16,7753.4567
-2.066533,120,7876.277542
-1.317664,12,7879.538498
-0.775359,79,8053.251629
-1.113885,10,8056.111708
-1.205682,20,8061.008507
-0.401327,43,8119.087488
-1.332648,58,8180.724608
-1.571683,46,8239.53053
-1.245885,12,8242.800844
-1.277035,34,8299.079951
-1.486241,59,8360.507647
-0.162969,168,8540.948662
-2.131618,39,8781.31456
-1.779235,120,8903.941415
-1.131849,24,8958.19348
-1.441623,40,9015.655411
-1.512108,75,9080.323056
-1.427621,16,9133.446473
0.013854,167,9313.840729
-1.936871,111,9558.876488
-1.194368,31,9615.058422
-1.124778,7,9617.317665
-1.198815,40,9675.046541
-1.429457,45,9733.444406
-1.479905,42,9742.756093
-1.991164,131,9916.259665
-1.946225,71,9980.498703
-1.386946,17,10033.442952
-1.662048,64,10277.950547
-1.34764,53,10338.30053
-1.401878,32,10394.248763
-1.249902,19,10398.938626
-1.42157,54,10459.451961
-1.745592,85,10574.855752
-1.519956,28,10581.365818
-1.656052,108,10701.507329
-1.707297,31,10757.67797
-2.361527,132,10999.913626
-1.271385,29,11055.246478
-1.254864,27,11061.515493
-1.278911,20,11115.049398
-1.285893,34,11122.746313
-1.310028,26,11177.482327
-1.429012,56,11238.287734
-0.272574,176,11420.701195
-2.634558,89,11717.889947
0.03062,171,11899.685534
-2.355557,114,12021.311546
-1.585881,7,12023.602775
-0.214212,21,12077.556251
-1.5356,91,12194.856258
-1.583027,27,12201.182661
-1.221225,23,12255.255575
-1.646956,60,12435.059763
-1.449798,75,12499.887698
-1.741172,71,12563.897372
-0.48719,71,12676.522797
-1.548409,52,12736.903411
-1.532549,55,12797.48128
-1.31738,14,12801.145837
-1.796866,132,12974.655496
-1.928375,156,13282.791059
-1.314881,14,13335.666418
-1.279888,34,13343.38528
-1.14451,3,13393.44306
-1.981518,164,13573.457709
-2.257692,91,13641.715662
-2.39034,154,14237.687625
-1.774641,45,14296.466945
-0.017027,157,14475.061322
-2.283609,92,14543.299339
-1.69966,58,14653.436501
-2.079904,102,15015.060344
-1.372096,25,15020.957047
-1.240375,20,15074.45589
-1.338682,47,15133.442405
-0.940882,66,15203.506935
0.197683,155,15382.105604
-1.946739,34,15438.702299
-2.279361,126,16093.442912
-1.544192,53,16153.846302
-1.42945,45,16163.825479
-1.062361,6,16214.557777
-1.208406,39,16223.264745
-1.369533,31,16279.094579
0.135404,147,16455.660382
-2.486205,111,16576.659784
-1.590826,32,16633.233662
-1.134588,3,16634.678023
-1.385411,56,17063.577143
-1.387043,56,17173.442275
-1.542519,55,17234.0518
-0.668597,65,17296.696706
-1.882669,119,17419.300611
-2.139056,110,17540.106922
-1.709402,38,17597.697954
-1.162801,3,17599.15615
-0.355036,38,17833.242881
-1.078671,5,17835.095214
-1.243097,29,17841.796062
-1.409905,38,17899.300454
-1.176773,24,17953.860755
-0.362469,200,18141.294643
-1.840662,11,18193.439701
-0.24282,21,18198.488254
-1.334811,44,18257.682197
-1.127991,4,18259.328375
-0.993807,272,18793.033887
-1.832158,10,18795.917045
-1.073614,7,18798.180473
-1.589248,78,18863.991455
-1.173518,27,18918.875458
-1.265256,25,18973.439839
-0.899548,103,19093.038733
-2.19217,113,19393.850792
-0.4431,28,19400.310455
-1.831232,143,19576.471981
-1.762316,189,19761.908412
-1.968624,36,19818.882837
-2.240118,133,20233.439233
-1.330795,21,20238.52901
-1.331469,42,20296.47377
-1.643646,71,20360.300274
-1.327105,6,20362.354075
-1.154282,23,20416.46936
-1.794597,142,20543.349162
-0.96976,24,20597.675899
-0.905679,264,21080.716847
-2.005372,41,21138.695542
-1.624515,82,21253.44289
-1.431191,8,21255.899447
-1.24136,39,21313.648004
-1.562904,67,21376.685686
-1.712591,67,21439.914904
-1.689664,56,21735.46064
-0.137251,176,21917.886335
-0.954218,21,21922.989527
-1.386634,68,22035.862026
-1.534313,30,22042.767581
-1.09575,3,22093.439544
-1.277995,42,22102.771071
-1.204637,5,22153.444561
-1.044259,4,22155.097592
-2.406801,140,22458.157137
-1.151311,114,22579.687548
-1.6812,75,22693.438761
-0.272222,194,22879.908191
-2.110491,54,22940.497543
-1.282764,18,22993.648014
-1.269102,24,22999.351377
-1.28484,27,23473.438674
-1.088353,3,23474.894527
-1.674334,99,23593.036872
-1.732419,51,23653.447746
-1.139315,4,23655.100366
-1.62657,92,23723.109601
-1.546118,34,23779.701419
-3.056838,195,24556.111973
-1.332117,51,24615.850124
-1.134752,99,24742.158215
-1.141033,9,24793.644483
-1.036116,5,24795.502485
-1.814207,154,24973.440025
-2.069221,48,24994.849283
-1.906164,174,25098.519093
-0.372763,39,25107.270057
-0.308732,31,25114.499934
-1.333677,45,25124.50989
0.029073,158,25157.436233
-1.893933,25,25163.360768
0.236853,140,25192.737955
-2.640527,156,25244.159992
-2.100286,50,25255.240084
-1.102321,3,25256.707261
-1.566556,117,25281.431588
-1.680284,7,25283.799373
-1.227124,35,25291.761667
0.121278,146,25322.379661
-2.26826,85,25375.470224
-1.495975,26,25381.608749
-1.272389,34,25389.349909
0.029977,153,25421.251213
-1.54165,145,25451.404227
-1.045358,40,25460.423594
-1.491825,68,25493.604554
-1.785659,126,25519.967824
-2.339241,132,25547.645447
-1.959028,45,25557.684674
-1.632578,88,25576.420778
-1.509556,13,25580.034963
-2.397551,196,25650.009867
-1.904314,44,25659.903155
-1.337904,27,25666.266338
-1.259665,29,25673.028244
-1.786955,127,25699.694706
-2.061749,71,25715.038905
-1.533008,39,25723.821379
-1.650821,67,25761.224162
-1.475571,52,25772.618297
-1.273873,4,25774.286757
0.373405,135,25802.492574
-1.806094,8,25804.965381
-1.241541,42,25814.317475
-1.618527,53,25825.940589
0.132249,148,25856.793587
-2.14683,58,25888.384169
0.136173,142,25918.013933
-2.081636,43,25927.699123
-1.120353,171,25963.256509
-1.114779,45,25973.323157
-1.91225,122,26036.740839
-1.501609,29,26043.476023
-1.705329,124,26069.533376
-2.359437,129,26096.556867
-2.075636,78,26113.241147
-1.499354,31,26120.502708
-2.127813,166,26196.396138
-1.777422,19,26201.197862
-1.182596,16,26205.303673
-1.292861,191,26244.935015
-1.975975,27,26251.354701
-0.723361,72,26266.769739
-1.885373,135,26307.689301
-1.792198,59,26320.522239
-1.883676,96,26340.919743
-1.540889,35,26348.824444
-1.663518,103,26370.524847
-2.04955,71,26385.795829
-1.420694,35,26393.747787
-1.582065,67,26464.449331
-1.468117,42,26473.823791
-1.747155,97,26494.314707
-1.671481,34,26502.057006
-1.437993,52,26513.46398
-1.532672,55,26525.451053
-1.548069,55,26537.439502
-1.254335,3,26538.88202
-2.132008,115,26624.857678
-1.121813,20,26629.787172
-1.114399,173,26665.963458
-2.110355,75,26682.116402
-1.699497,48,26692.769311
-1.223827,5,26694.633038
-1.020196,3,26696.125106
-1.518533,92,26715.772469
-1.726676,57,26728.326061
-1.194407,143,26823.197301
-1.876407,56,26835.389824
-1.635846,51,26846.552764
-2.120937,178,26883.448058
-1.914231,21,26888.565274
-1.280675,41,26897.752811
-0.622719,219,26955.274951
-1.162613,41,26964.559891
-0.382273,38,26973.082901
-1.070512,7,26975.431431
-1.629075,93,26995.094159
-2.805704,167,27049.926301
-1.92109,129,27076.918535
-2.108972,99,27097.930642
-1.608082,26,27104.086151
-0.299656,21,27109.152422
-1.960891,162,27143.077908
-2.311197,86,27227.842626
-1.990126,123,27253.730257
-2.40784,131,27281.222983
-1.190031,117,27305.826319
-0.723212,38,27314.368692
-1.143134,15,27318.356343
-1.075142,6,27320.43829
-1.119784,13,27348.989332
-1.031033,3,27350.436311
-1.039695,3,27351.912106
-1.146661,22,27357.214185
-1.663959,102,27378.71909
-0.294846,158,27411.681401
-1.986822,37,27420.022926
-1.335046,29,27426.833718
-1.242346,26,27432.943285
-2.909041,229,27519.732897
-0.146374,138,27548.559135
-2.122396,53,27560.15861
-1.184559,3,27561.617718
-1.401985,93,27581.398244
-2.876219,129,27643.101219
-1.269964,29,27649.82117
-1.168368,17,27654.124801
-1.319508,32,27661.483096
-1.0353,4,27663.216027
-1.363971,53,27674.822868
0.196308,137,27703.542798
-1.80975,8,27706.15385
-1.194867,30,27713.106205
-1.164658,3,27714.554767
-1.041845,4,27716.208124
-1.053794,5,27718.071667
-1.224278,40,27727.010502
-1.234351,4,27728.669261
-2.566693,187,27826.660917
-0.086838,149,27857.899335
-1.992523,47,27868.295078
-1.7414,101,27889.742317
-1.549632,5,27891.652562
-1.06544,12,27894.949156
-1.28761,39,27903.750194
-2.02835,89,27938.585869
-1.606846,74,27954.463437
-1.4404,44,27964.297356
-1.867713,109,27987.276501
-1.606924,29,27993.984306
-0.327278,21,27999.053958
-1.036565,4,28000.837711
-1.148943,25,28006.766603
-1.688593,103,28028.478827
-2.59746,153,28097.78129
-1.481254,11,28100.843846
-1.816791,139,28129.876584
-2.622173,173,28165.961701
-1.829405,9,28168.64932
-1.382662,65,28182.703581
-1.308159,5,28184.551751
-0.13629,185,28263.892255
-1.557703,155,28296.102488
-0.432284,144,28326.111482
-2.557154,132,28362.099398
-0.338372,157,28394.84312
-1.855584,25,28400.794836
0.253718,134,28428.979908
-1.869237,19,28433.659174
-1.208691,15,28437.530876
-1.199142,32,28444.877663
-1.466054,44,28465.618778
-1.747807,124,28491.76616
-1.965399,77,28508.301522
-1.612189,31,28515.483985
-0.000996,158,28548.541345
-1.130425,213,28681.81961
-2.160923,75,28697.902355
-1.453805,16,28702.00331
-1.229694,26,28708.221036
0.290655,135,28736.531939
-1.969893,40,28745.616438
-1.404777,54,28757.465972
-1.410341,13,28760.97133
-1.596823,80,28818.284611
-1.367559,18,28822.768025
-1.444151,52,28834.212951
-1.767812,132,28861.820846
-1.929756,39,28870.537994
-1.421757,50,28881.567514
-1.596254,60,28894.542698
-1.330463,3,28895.997814
-1.066259,12,28899.253408
-1.933123,100,28961.023773
0.25887,133,28988.911954
-2.038452,62,29002.386689
-1.634692,47,29012.799069
-1.46248,78,29029.512376
-1.720371,31,29036.635056
-1.132339,3,29038.098238
-2.3614,164,29115.141701
0.137886,130,29142.348778
-2.194847,89,29161.326575
-2.395158,168,29196.198379
-1.80965,7,29198.557821
-1.15391,27,29204.848089
-1.407653,31,29241.381214
-1.175175,16,29245.632493
-1.036863,3,29247.092575
-1.207346,34,29254.844904
-1.165964,3,29256.329815
-1.196203,38,29264.910682
-1.440496,52,29276.361745
-1.467577,26,29282.495088
-1.27572,25,29288.515581
-1.226338,25,29294.48291
-1.14342,5,29296.426194
-1.462781,89,29315.365658
-1.439408,171,29351.032886
-1.98452,42,29382.584731
0.218996,137,29411.382079
-1.971374,27,29417.716823
0.163992,153,29449.661381
-1.931247,39,29458.391239
-1.287655,10,29461.298844
-0.756295,247,29553.15476
-1.796095,7,29555.424086
-1.158176,25,29561.340301
-0.491765,36,29569.512356
-0.370937,37,29577.821881
-0.406395,40,29586.879448
-1.201919,27,29593.221795
-1.195105,26,29599.346426
-1.314435,23,29604.85748
-1.693746,108,29627.737766
-0.543318,182,29723.433451
-0.58074,158,29756.346215
-1.810834,7,29758.608442
-0.423051,61,29771.815703
-1.351451,29,29778.547511
-2.056458,91,29824.243805
-1.098197,22,29829.548815
-1.490119,53,29841.224422
-1.205383,3,29842.685294
-1.214092,50,29853.688677
-1.479073,33,29861.209643
-1.204225,4,29862.871968
-1.125968,20,29867.798737
0.275482,136,29896.187134
-1.825694,11,29899.316129
-1.166536,31,29906.470874
-1.269546,9,29909.161321
-1.257877,40,29918.153806
-1.187139,5,29920.010578
-2.235161,155,29964.181495
-1.47908,24,29969.892496
-2.308032,191,30009.639841
-1.220591,50,30020.68161
-0.410949,34,30028.403218
-0.458738,49,30039.168519
-0.375784,35,30047.073689
-1.026071,7,30049.422215
-1.760203,141,30108.773161
-2.138432,102,30130.416314
-1.66912,23,30135.933182
-1.194018,15,30139.827297
-1.108639,7,30142.101814
-1.272564,42,30151.49753
-1.452606,58,30164.090124
-1.856346,101,30185.437788
-2.588463,177,30254.393743
-1.807262,14,30258.10377
0.228389,151,30289.745074
-2.282713,98,30310.551263
-1.616556,21,30315.751905
-1.069675,3,30317.202992
-1.041514,4,30318.877529
-0.476305,219,30378.434552
-0.613978,161,30412.105262
-1.895354,25,30418.007727
-1.360831,43,30427.715546
-1.212593,3,30429.163059
-1.733288,184,30511.082286
-1.272961,15,30514.970448
-1.149691,13,30518.445398
-0.479519,52,30529.802665
0.278745,144,30559.816607
-1.825351,11,30562.886108
-0.517889,70,30577.890199
-2.804721,186,30684.237664
0.075241,138,30713.071267
-2.04255,77,30729.497751
-1.601717,22,30734.904758
-1.211623,23,30740.410745
-1.174637,3,30741.900945
-1.223251,31,30749.033516
-0.920971,152,30780.700793
-1.838326,18,30847.087709
-1.206494,22,30852.42149
-1.356642,50,30863.459167
-1.766671,98,30884.25766
-2.011133,108,30907.091433
-1.718149,26,30913.215936
-1.460485,80,30930.323409
-1.886549,84,30948.262441
-1.398844,170,30996.624952
-2.643845,149,31027.659885
-0.472138,163,31061.688492
-2.245511,66,31127.795449
-1.859201,132,31155.424207
-2.128232,109,31178.440062
-2.070532,86,31196.794193
-1.482121,10,31199.674964
-1.463834,66,31213.939074
-1.366537,24,31219.666517
-1.151192,3,31221.114283
-1.062523,12,31224.414316
-1.859623,137,31316.178985
-1.756954,25,31322.11468
-0.430078,208,31365.321846
-1.957262,33,31372.870368
-1.155582,4,31374.538141
-2.785309,241,31475.052225
-1.840576,31,31482.233606
-1.227923,20,31487.143279
-1.434244,66,31501.308411
-1.85031,85,31519.354333
-1.520486,28,31525.872923
-2.711742,169,31589.445859
-1.124483,3,31590.895582
-1.477615,92,31610.447891
-2.137386,135,31638.79917
-2.289951,115,31663.061978
-1.661657,18,31667.664984
-1.286183,35,31675.594592
-1.256676,18,31680.118671
-2.51635,215,31749.276659
-2.49868,80,31766.451305
-1.15622,26,31772.565833
-1.365873,34,31780.280912
-1.496883,58,31792.977381
-1.478764,57,31805.376057
-1.439229,24,31811.088884
-1.176407,4,31812.758414
-1.149022,23,31818.281425
-1.253925,31,31825.394292
-1.209295,3,31826.868989
-1.566235,95,31874.074491
-1.603814,37,31882.489885
-1.216452,3,31883.93558
0.31705,141,31913.307125
-1.77371,3,31914.760753
-1.131575,25,31920.649519
-1.346282,50,31931.621608
-1.503169,49,31942.413679
-2.372933,109,31998.94763
-1.579395,112,32022.432781
-1.838028,65,32036.51594
-0.018835,138,32065.284189
-1.632097,123,32091.026645
-1.487053,29,32097.867847
-1.187841,5,32099.724622
-1.058487,4,32101.359975
0.144906,157,32163.049337
-2.021955,48,32173.599831
-1.610158,90,32192.70607
-1.640578,27,32199.075219
-1.764084,98,32219.909955
-1.412915,5,32221.805272
-1.045195,4,32223.493991
-1.049672,3,32225.024639
-1.33723,69,32239.922666
-1.66931,42,32263.7532
-1.401494,69,32278.615748
-1.633836,38,32287.18975
-1.221004,3,32288.665135
-1.57492,103,32310.454939
-1.577504,15,32314.379235
-3.695787,275,32431.854851
-1.325367,36,32440.003086
-1.220446,5,32441.850256
-1.279408,65,32455.970714
-1.573472,40,32464.92242
-0.019403,151,32496.314077
-1.782758,5,32498.250854
-1.055944,5,32500.113926
-1.056331,4,32501.796787
-1.053365,4,32503.461206
-2.777749,187,32592.308696
-1.15919,4,32593.96055
-1.204108,51,32605.137462
-1.535088,49,32615.889867
-1.409821,20,32620.795554
-1.56497,112,32644.352195
-2.280366,136,32672.874785
-2.128229,56,32685.1038
-1.95517,78,32743.137018
-1.157057,19,32747.922941
-1.575867,125,32774.136656
-3.632353,257,32827.163383
-1.938393,40,32836.252225
-1.771751,121,32920.941042
-1.767912,27,32927.353047
-1.984603,157,32960.121276
-1.078415,38,32968.673527
-0.840379,158,33001.644522
-2.098516,47,33077.081209
-1.155572,3,33078.543668
0.483666,124,33104.50402
-3.236903,214,33148.710671
-1.831996,29,33155.538982
-2.231524,111,33222.840945
-1.120073,29,33229.576159
-1.330418,37,33238.051252
-1.244856,3,33239.505099
